Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,4,"8,554",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,5,"9,153",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,6,"11,596",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,7,"11,250",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,8,"9,722",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,9,"8,583",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,10,"13,736",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,11,"10,735",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2011,12,"8,670",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,1,"5,948",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,2,"6,812",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,3,"9,197",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,4,"8,900",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,5,"9,836",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,6,"8,643",0,0,0
Northeast,National Monument,AFBG,African Burial Ground National Monument,NY,2012,7,"8,233",0,0,0
